filename,relevance_score,coherence_score,accuracy_score,fluency_score
INQ000350513.txt,4.0,4.0,2.666666667,4.0
INQ000383585.txt,3.0,4.0,4.333333333,4.0
INQ000395589.txt,4.0,4.0,2.666666667,4.0
INQ000396684.txt,4.0,4.0,2.833333333,3.333333333
INQ000350094.txt,2.333333333,3.0,2.0,3.0
INQ000385719.txt,4.333333333,4.0,4.0,4.0
INQ000395913.txt,2.666666667,2.333333333,2.0,2.333333333
INQ000412042.txt,4.0,4.0,3.0,4.0
INQ000400585.txt,1.666666667,2.833333333,2.0,2.333333333
INQ000383581.txt,4.0,3.666666667,3.0,3.0
INQ000350691.txt,2.666666667,2.666666667,2.0,2.333333333
INQ000350057.txt,4.0,4.0,2.666666667,3.666666667
INQ000396686.txt,2.333333333,3.333333333,2.333333333,4.0
INQ000383998.txt,4.0,4.0,4.333333333,4.0
INQ000396685.txt,2.888888889,3.555555556,4.0,3.888888889
Average,3.3259259259333334,3.5592592592666668,2.9222222222,3.4592592592
